# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	32367
#@/user_id	Mac
a 	啊	c=393 d=1.26882 t=31923
qun ou 	群殴	c=3 d=1.00001 t=12506
qun ti 	群体	c=1 d=1 t=7256
qun zhong 	群众	c=1 d=1 t=16497
ran 	然	c=1 d=1 t=6833
ran hou 	然后	c=43 d=2.24692 t=31625
ran shao 	燃烧	c=1 d=1 t=25704
rang 	让	c=20 d=1.08574 t=31770
rang ni 	让你	c=5 d=1.00001 t=30075
rang ni men 	让你们	c=1 d=1 t=25693
rang pu tian ren 	让莆田人	c=1 d=1 t=30019
rang ren 	让人	c=1 d=1 t=22816
rang ren jia 	让人家	c=2 d=1 t=25266
rang ta 	让他	c=1 d=1 t=11467
rang ta 	让她	c=1 d=1 t=11567
rang ta men 	让他们	c=10 d=1 t=29958
rang wo 	让我	c=50 d=1.63129 t=32049
rang wo jue de 	让我觉得	c=1 d=1 t=8872
rang zi ji 	让自己	c=1 d=1 t=29321
re 	惹	c=1 d=1.03679 t=6225
re men 	热门	c=1 d=1 t=1846
re qing 	热情	c=0 d=0.1 t=19293
re qing le 	热情了	c=1 d=1 t=19294
re wo 	惹我	c=1 d=1 t=22542
re xue 	热血	c=1 d=1.00072 t=22954
ren 	人	c=155 d=3.32586 t=32348
ren 	仁	c=1 d=1 t=27739
ren 	任	c=1 d=1 t=4650
ren 	忍	c=4 d=1.97049 t=12778
ren 	认	c=6 d=1.00019 t=21828
ren bu neng 	人不能	c=1 d=1 t=17005
ren cai 	人才	c=1 d=1 t=1412
ren de 	人的	c=3 d=1 t=21066
ren dou 	人都	c=1 d=1 t=22733
ren fan zi 	人贩子	c=1 d=1 t=20212
ren ge 	人格	c=1 d=1 t=9124
ren hai shi 	人还是	c=1 d=1 t=22293
ren he 	任何	c=6 d=1 t=30732
ren he ren 	任何人	c=7 d=1 t=31707
ren he zuo 	人合作	c=1 d=1 t=6824
ren jia 	人家	c=40 d=1.93466 t=30561
ren jian 	人间	c=2 d=1 t=23459
ren ke 	认可	c=1 d=1 t=7735
ren le 	人了	c=1 d=0.100282 t=14697
ren lei 	人类	c=1 d=1 t=901
ren men 	人们	c=1 d=0.726149 t=32367
ren min 	人民	c=3 d=1 t=30259
ren min de 	人民的	c=1 d=1 t=22132
ren ming 	认命	c=3 d=2.1717 t=18106
ren ming le 	认命了	c=2 d=1 t=16899
ren qing 	人情	c=3 d=1.00126 t=31118
ren qing 	认清	c=1 d=1 t=10678
ren qing shi gu 	人情世故	c=2 d=1 t=15017
ren ru guo 	人如果	c=1 d=1 t=449
ren sheng 	人生	c=89 d=2.22042 t=32100
ren shi 	人事	c=0 d=0.1 t=5915
ren shi 	人士	c=1 d=1 t=4128
ren shi 	人是	c=4 d=1.19889 t=22827
ren shi 	认识	c=7 d=1 t=25143
ren shi jian 	人世间	c=1 d=1 t=15052
ren shou 	忍受	c=4 d=1 t=30577
ren shou bu liao 	忍受不了	c=1 d=1 t=25642
ren tong 	认同	c=0 d=0.175201 t=31692
ren tong guo 	认同过	c=1 d=1 t=31693
ren wei 	认为	c=1 d=1 t=10901
ren wo 	人我	c=1 d=1 t=3310
ren wu 	人物	c=1 d=1 t=18070
ren wu ke ren 	忍无可忍	c=1 d=1 t=20160
ren xiang yao 	人想要	c=1 d=1 t=26453
ren xing 	人性	c=4 d=1 t=23285
ren yao 	人要	c=2 d=1 t=27905
ren ye ke yi 	人也可以	c=1 d=1 t=21136
ren yi 	人意	c=1 d=1 t=2620
ren yi yang 	人一样	c=1 d=1 t=13507
ren you 	人有	c=1 d=1 t=25980
ren zai 	人在	c=1 d=1 t=20126
ren zhen de shi 	人真的是	c=1 d=1 t=23276
ren zhi 	认知	c=2 d=1.96079 t=10896
ren zhi yao 	人只要	c=1 d=1 t=16263
ri 	日	c=0 d=0.1 t=327
ri ben 	日本	c=4 d=1 t=28667
ri chu 	日出	c=1 d=1 t=25218
ri fu yi ri 	日复一日	c=1 d=1 t=13185
ri le 	日了	c=1 d=1 t=16030
ri wen 	日文	c=1 d=1 t=8672
ri zi 	日子	c=13 d=0.1 t=31585
ri zi le 	日子了	c=1 d=1 t=31586
rong ru 	融入	c=5 d=1 t=10387
rong yao 	荣耀	c=0 d=0.1 t=5299
rong yi 	容易	c=14 d=0.100017 t=30470
rong yi a 	容易啊	c=1 d=1 t=30471
rong yi ma 	容易吗	c=1 d=1 t=12065
rou 	肉	c=1 d=1 t=21298
ru 	如	c=1 d=0.1 t=29266
ru ci 	如此	c=24 d=1 t=31723
ru ci hao 	如此好	c=1 d=1 t=11511
ru gu 	入股	c=1 d=1 t=24282
ru guo 	如果	c=78 d=3.35547 t=32285
ru guo bu neng 	如果不能	c=1 d=1 t=27198
ru guo bu shi 	如果不是	c=1 d=1 t=11746
ru guo bu suan 	如果不算	c=1 d=1 t=11462
ru guo ke yi 	如果可以	c=2 d=1 t=29373
ru guo ni men 	如果你们	c=1 d=1 t=29112
ru guo shi wo 	如果是我	c=1 d=1 t=1028
ru guo suan 	如果算	c=1 d=1 t=11466
ru guo wo de 	如果我的	c=1 d=1 t=1262
ru guo you 	如果有	c=1 d=1 t=13490
ru he 	如何	c=25 d=1.36059 t=32000
ru he zai 	如何在	c=1 d=1 t=5047
ru jin 	如今	c=6 d=1.00004 t=27983
ru jin de 	如今的	c=1 d=1 t=10934
ru men 	入门	c=2 d=1.96079 t=5109
ru shui 	如水	c=1 d=1 t=16084
ru yi ri 	如一日	c=1 d=1 t=29267
ruan jian 	软件	c=1 d=1 t=8680
ruan yin 	软银	c=1 d=1 t=21302
ruo 	弱	c=2 d=1 t=10238
ruo dian 	弱点	c=1 d=1 t=28068
ruo xiao 	弱小	c=1 d=1 t=24699
sa tuo 	洒脱	c=3 d=1.0945 t=6244
sai dao 	赛道	c=2 d=1.82696 t=2222
san 	三	c=1 d=1 t=18219
san 	散	c=2 d=1 t=18313
san ge 	三个	c=3 d=1 t=23970
san ge yue 	三个月	c=3 d=1 t=18983
san guan 	三观	c=2 d=1.71892 t=30992
san kuai 	三块	c=2 d=1.95123 t=29503
san luo 	散落	c=1 d=1 t=2033
san man 	散漫	c=1 d=1 t=28526
san nian 	三年	c=4 d=1 t=30815
san nian le 	三年了	c=2 d=1 t=30206
san qian 	三千	c=5 d=1.0102 t=32251
san qian kuai 	三千快	c=3 d=1 t=15848
san si nian 	三四年	c=1 d=1 t=11712
san tian 	三天	c=1 d=1.0002 t=20769
san wang 	三网	c=3 d=1.32628 t=28406
san wu 	三五	c=0 d=0.0733447 t=32367
san wu cheng qun 	三五成群	c=1 d=0.737123 t=32367
san zhong 	三种	c=1 d=1 t=19471
san zuo 	三座	c=1 d=1 t=29468
sao 	扫	c=0 d=0.1 t=12659
sao 	骚	c=1 d=1 t=12661
sao cao zuo 	扫操作	c=1 d=1 t=12660
sha 	傻	c=9 d=1 t=30537
sha 	啥	c=12 d=1.0956 t=23912
sha bi 	傻逼	c=3 d=1 t=27069
sha dao 	傻到	c=1 d=1 t=19792
sha dou hui 	啥都会	c=1 d=1 t=23904
sha fa 	沙发	c=1 d=1 t=29413
sha ren 	杀人	c=1 d=0.1 t=27746
sha ren qiang jian 	杀人强奸	c=1 d=1 t=24683
sha sha 	傻傻	c=1 d=1 t=22854
sha shi 	啥事	c=1 d=1 t=6192
sha shi hou 	啥时候	c=1 d=1 t=12557
sha zi 	傻子	c=2 d=1.16365 t=30565
sha zi 	啥子	c=1 d=1 t=24316
shan 	善	c=2 d=1 t=28136
shan 	山	c=2 d=1 t=22361
shan chang 	擅长	c=1 d=1 t=3942
shan dong 	山东	c=1 d=1 t=12008
shan liang 	善良	c=6 d=1.00001 t=16967
shan mai 	山脉	c=1 d=0.909373 t=32367
shan shang 	山上	c=1 d=1 t=7863
shan yi 	善意	c=1 d=1 t=15562
shan yu 	山芋	c=1 d=1 t=2776
shang 	上	c=35 d=0.722527 t=32367
shang 	伤	c=1 d=1 t=1643
shang ban 	上班	c=6 d=1 t=31849
shang ceng 	上层	c=1 d=1 t=4127
shang chang 	上场	c=1 d=1 t=9252
shang chang 	商场	c=1 d=1 t=31827
shang da xue 	上大学	c=1 d=1 t=5270
shang de 	伤得	c=1 d=1 t=1645
shang feng 	上风	c=2 d=1.05208 t=24482
shang gan zhe 	上赶着	c=2 d=1.08892 t=25116
shang ge 	上个	c=0 d=0.1 t=30084
shang ge xue 	上个学	c=1 d=1 t=30085
shang gou 	上钩	c=1 d=1 t=2733
shang guan 	上官	c=0 d=0.1 t=30900
shang guan wan er 	上官婉儿	c=1 d=1 t=30901
shang hai 	伤害	c=5 d=1.14227 t=20364
shang huo 	上火	c=0 d=0.1 t=18994
shang huo le 	上火了	c=1 d=1 t=18995
shang jie 	上街	c=1 d=1 t=26572
shang lai 	上来	c=0 d=0.1 t=16272
shang le 	上了	c=0 d=0.1 t=7188
shang liu she hui 	上流社会	c=1 d=1 t=13090
shang mian 	上面	c=4 d=1 t=27266
shang ren 	商人	c=1 d=0.188922 t=4924
shang ren de 	商人的	c=1 d=1 t=4925
shang su 	上诉	c=4 d=1.31336 t=24789
shang tian 	上天	c=5 d=1 t=23909
shang tou 	上头	c=1 d=1 t=25128
shang wang 	上网	c=1 d=1 t=23647
shang wei 	上位	c=4 d=2.94111 t=11982
shang wu 	上午	c=1 d=1 t=28494
shang xian 	上线	c=0 d=0.1 t=2429
shang xue 	上学	c=0 d=0.1 t=30472
shang xue de 	上学的	c=1 d=1 t=30473
shang ye 	商业	c=1 d=1 t=4362
shao 	少	c=4 d=0.1 t=27572
shao 	烧	c=1 d=1 t=22676
shao fu 	少妇	c=1 d=1 t=10201
shao jie chu 	少接触	c=1 d=1 t=16007
shao shuo 	少说	c=1 d=1 t=26229
shao shuo hua 	少说话	c=1 d=1 t=14129
shao wei 	稍微	c=1 d=1 t=11335
she 	涉	c=1 d=1 t=6907
she chi 	奢侈	c=2 d=1.97531 t=19769
she hui 	社会	c=13 d=1 t=31547
she hui de 	社会的	c=1 d=1 t=7465
she hui fa zhan 	社会发展	c=1 d=1 t=1432
she hui le 	社会了	c=1 d=1 t=5421
she hui zhi du 	社会制度	c=1 d=1 t=2125
she jiao 	社交	c=3 d=0.1 t=31982
she ne m 	涉呢呒	c=1 d=1 t=10142
she qiu 	奢求	c=4 d=1.08389 t=25529
she wang 	奢望	c=3 d=1.00001 t=23901
she you 	舍友	c=1 d=1 t=5406
shen 	伸	c=1 d=1 t=30114
shen 	深	c=1 d=1 t=6910
shen 	身	c=7 d=1 t=31034
shen bian 	身边	c=5 d=1 t=26890
shen bian de 	身边的	c=2 d=1 t=18910
shen bian de ren 	身边的人	c=2 d=1 t=25261
shen ceng 	深层	c=1 d=1 t=7550
shen chou 	深仇	c=1 d=1 t=21689
shen chu 	深处	c=0 d=0.1 t=1682
shen fen 	身份	c=10 d=1.4431 t=30380
shen fen zheng 	身份证	c=1 d=1 t=28799
shen jing 	神经	c=1 d=1 t=21667
shen jing 	身精	c=1 d=1 t=18235
shen jing bing 	神经病	c=1 d=1 t=7259
shen me 	什么	c=191 d=3.45489 t=32184
shen me de 	什么的	c=1 d=1 t=7292
shen me jiao 	什么叫	c=1 d=1 t=23100
shen me shi 	什么事	c=1 d=1 t=3288
shen qing 	申请	c=1 d=1 t=27522
shen shang 	身上	c=11 d=1.00269 t=31734
shen ti 	身体	c=7 d=1 t=31362
shen tou 	渗透	c=3 d=0.1 t=19096
shen tou le 	渗透了	c=1 d=1 t=19097
shen wu fen wen 	身无分文	c=7 d=1 t=31787
shen zhi 	甚至	c=14 d=1 t=26886
sheng 	剩	c=1 d=1 t=15799
sheng 	生	c=8 d=1.0002 t=25981
sheng 	省	c=4 d=1.76338 t=28740
sheng bai 	胜败	c=1 d=1 t=18222
sheng bing 	生病	c=1 d=1 t=16690
sheng bu qi 	生不起	c=1 d=1 t=22286
sheng de 	省得	c=1 d=1 t=3792
sheng fen 	省份	c=2 d=1 t=28338
sheng hai zi 	生孩子	c=3 d=1.96966 t=19192
sheng huo 	生活	c=53 d=1.90677 t=31789
sheng huo de 	生活的	c=2 d=1 t=10390
sheng huo fang shi 	生活方式	c=1 d=1 t=25797
sheng huo jie zou 	生活节奏	c=1 d=1 t=10423
sheng huo le 	生活了	c=1 d=1 t=9357
sheng huo ma 	生活吗	c=1 d=1 t=11571
sheng huo ya 	生活呀	c=3 d=0.100298 t=25014
sheng ji 	升级	c=2 d=1.96079 t=17544
sheng li 	胜利	c=1 d=1 t=20164
sheng lu 	生路	c=1 d=1 t=18058
sheng qi 	生气	c=3 d=1.0061 t=27231
sheng shen me 	生什么	c=1 d=1 t=19114
sheng sheng 	生生	c=1 d=1 t=17957
sheng shi 	盛世	c=7 d=1 t=19439
sheng si 	生死	c=4 d=1.00437 t=20312
sheng si cun wang 	生死存亡	c=1 d=1 t=19687
sheng wai 	省外	c=1 d=0.100307 t=6936
sheng wai de 	省外的	c=1 d=1 t=6937
sheng wang 	声望	c=1 d=1 t=2687
sheng xia 	剩下	c=2 d=1 t=15890
sheng xia lai 	生下来	c=1 d=1 t=12826
sheng xing 	盛行	c=1 d=1 t=19613
sheng yi 	生意	c=5 d=1.00117 t=28315
sheng zai 	生在	c=2 d=1 t=28631
shi 	世	c=1 d=1 t=6908
shi 	事	c=101 d=1.1519 t=32309
shi 	使	c=1 d=1 t=18075
shi 	十	c=2 d=1 t=32147
shi 	史	c=1 d=1 t=2436
shi 	施	c=1 d=1 t=26002
shi 	是	c=441 d=2.91797 t=32367
shi 	试	c=1 d=1 t=18744
shi 	食	c=1 d=1 t=18947
shi a 	是啊	c=1 d=1 t=20698
shi bai 	失败	c=5 d=1 t=27735
shi bai le 	失败了	c=1 d=1 t=18061
shi bai zhong 	失败中	c=1 d=1 t=5752
shi bu 	是不	c=0 d=0.1 t=7519
shi bu gan jing 	是不干净	c=1 d=1 t=19562
shi bu qing chu 	是不清楚	c=1 d=1 t=21373
shi bu shi 	时不时	c=1 d=1 t=31784
shi bu shi 	是不是	c=11 d=1.00048 t=29382
shi bu wen ding de 	是不稳定的	c=1 d=1 t=7520
shi chang 	市场	c=1 d=1.03985 t=2167
shi chang 	时常	c=1 d=1 t=20175
shi chang de 	市场的	c=1 d=1 t=1984
shi chen 	时辰	c=1 d=1 t=17928
shi cheng 	时称	c=1 d=1 t=1001
shi cong 	是从	c=1 d=1 t=17762
shi cuo 	试错	c=2 d=1.00047 t=14910
shi dai 	时代	c=4 d=1 t=31527
shi dao 	世道	c=3 d=1 t=27064
shi er 	十二	c=1 d=1 t=13631
shi er dian 	十二点	c=1 d=1 t=28482
shi fou 	是否	c=3 d=1 t=28414
shi fu 	师傅	c=1 d=1 t=26313
shi ge 	是个	c=21 d=1.0133 t=32220
shi ge ren 	是个人	c=1 d=1 t=19952
shi gu 	世故	c=1 d=0.1 t=16664
shi guo 	试过	c=1 d=1 t=20930
shi hao 	嗜好	c=1 d=1 t=31074
shi he 	适合	c=12 d=1.37719 t=31189
shi he wo 	适合我	c=1 d=1 t=10420
shi hou 	时候	c=77 d=1.19185 t=30474
shi hua 	实话	c=4 d=1.0074 t=27260
shi hui 	是会	c=1 d=1 t=452
shi ji 	世纪	c=2 d=1 t=17506
shi ji 	十几	c=1 d=1 t=8563
shi ji ge 	十几个	c=1 d=1 t=1691
shi jian 	时间	c=22 d=1.50817 t=25081
shi jian jiu le 	时间久了	c=1 d=1 t=9321
shi jie 	世界	c=82 d=2.256 t=32224
shi jie de 	世界的	c=3 d=1.00006 t=28112
shi ke yi 	是可以	c=1 d=1 t=26456
shi kong 	失控	c=1 d=1 t=15296
shi lai 	是来	c=1 d=1 t=25241
shi li 	势利	c=2 d=1.00001 t=31615
shi li 	势力	c=4 d=1 t=27890
shi li 	实力	c=5 d=1.14371 t=22432
shi li bu ru ren 	实力不如人	c=1 d=1 t=2098
shi ma 	是吗	c=2 d=1 t=20974
shi mian 	市面	c=1 d=1 t=10298
shi ni 	是你	c=2 d=1.04307 t=22927
shi pin 	视频	c=7 d=0.099005 t=32367
shi pin ni 	视频你	c=1 d=0.995012 t=32367
shi qing 	事情	c=29 d=1.20318 t=32060
shi qing de 	事情的	c=2 d=1 t=23273
shi qing le 	事情了	c=1 d=1 t=20393
shi qu 	失去	c=4 d=1 t=25848
shi ran 	使然	c=1 d=1 t=17902
shi ren 	世人	c=3 d=1 t=17180
shi shen me 	是什么	c=3 d=1 t=21554
shi shi 	事实	c=2 d=1 t=18894
shi shi 	实时	c=1 d=1 t=16177
shi shi 	试试	c=5 d=1 t=22796
shi ta 	是他	c=1 d=1 t=18721
shi tu 	试图	c=1 d=1 t=25996
shi wo 	是我	c=11 d=1 t=30118
shi wo de 	是我的	c=2 d=1 t=20569
shi wo zuo de 	是我做的	c=1 d=1 t=12801
shi wu 	食物	c=1 d=1 t=17525
shi wu suo 	事务所	c=1 d=1 t=30332
shi xian 	实现	c=1 d=1 t=9518
shi xian le 	实现了	c=1 d=1 t=775
shi xiang 	是想	c=1 d=1 t=23091
shi yao 	是要	c=5 d=1 t=29934
shi ye 	事业	c=4 d=0.201266 t=23788
shi ye 	失业	c=1 d=1 t=28474
shi ye le 	事业了	c=1 d=1 t=23789
shi ye you cheng 	事业有成	c=1 d=1 t=20616
shi yi ge 	是一个	c=1 d=1 t=14789
shi yi jian 	是一件	c=1 d=1 t=22237
shi yi yang 	是一样	c=1 d=1 t=21053
shi yin wei 	是因为	c=6 d=1 t=20097
shi ying 	适应	c=3 d=1.00007 t=23141
shi yong 	使用	c=1 d=0.794534 t=32367
shi you 	是有	c=3 d=1 t=23201
shi zai 	实在	c=13 d=1.10137 t=30159
shi zai 	是在	c=2 d=1 t=20140
shi zai shi 	实在是	c=3 d=1 t=19295
shi zhe me 	是这么	c=1 d=1 t=6650
shi zhen 	是真	c=2 d=1 t=16526
shi zhong 	时钟	c=3 d=2.97032 t=12503
shi zhong 	是种	c=2 d=1 t=25184
shi zi jia 	十字架	c=2 d=1.24051 t=13130
shou 	受	c=6 d=1 t=30072
shou 	守	c=2 d=1 t=26492
shou 	手	c=6 d=1 t=30112
shou 	收	c=4 d=1.00374 t=27393
shou bu liao 	受不了	c=3 d=1.00077 t=22667
shou bu liao le 	受不了了	c=1 d=1 t=4035
shou chang 	收场	c=1 d=1 t=760
shou cheng 	守成	c=1 d=1 t=18338
shou dao 	受到	c=1 d=1 t=21721
shou duan 	手段	c=3 d=1 t=22134
shou fei 	收费	c=2 d=1.09346 t=22597
shou gou 	收购	c=1 d=1 t=27854
shou hai zhe 	受害者	c=2 d=1 t=23311
shou ji 	手机	c=7 d=1 t=28698
shou ji 	收集	c=1 d=1 t=3977
shou ji de 	手机的	c=1 d=1 t=23668
shou ji fei 	手机费	c=1 d=1 t=15622
shou ji ka 	手机卡	c=2 d=1 t=22494
shou jiang shan 	守江山	c=1 d=1 t=619
shou jin 	受尽	c=2 d=1 t=19973
shou ku 	受苦	c=2 d=1 t=12827
shou lei 	受累	c=0 d=0.1 t=29180
shou li 	手里	c=2 d=1 t=24026
shou rou 	瘦肉	c=1 d=1 t=21011
shou shang 	受伤	c=1 d=1 t=6806
shou shang 	手上	c=2 d=1 t=30031
shou shi 	收拾	c=6 d=1.09753 t=20050
shou shi lan tan zi 	收拾烂摊子	c=1 d=1 t=20046
shou shi ni 	收拾你	c=1 d=1 t=2138
shou shou 	收手	c=4 d=1.56448 t=28146
shou wo 	收我	c=2 d=1.97045 t=26298
shou xian 	首先	c=3 d=1 t=28669
shou xu 	手续	c=1 d=1 t=31029
shou yang 	收养	c=2 d=1 t=20074
shou yi 	收益	c=1 d=1 t=10169
shou zhi 	受制	c=0 d=0.1 t=7485
shou zhi yu ren 	受制于人	c=1 d=1 t=7486
shu 	书	c=5 d=2.43354 t=10304
shu 	数	c=1 d=1 t=14585
shu 	术	c=2 d=1.10057 t=9981
shu 	树	c=1 d=1 t=24297
shu 	输	c=2 d=0.1 t=23445
shu ben 	书本	c=0 d=0.1 t=4444
shu ben shang 	书本上	c=1 d=1 t=4445
shu fu 	束缚	c=3 d=1 t=31219
shu fu 	舒服	c=5 d=1.00014 t=25268
shu fu dian 	舒服点	c=2 d=1 t=16281
shu fu le 	舒服了	c=1 d=1 t=19312
shu ju 	数据	c=0 d=0.1 t=9992
shu le 	输了	c=2 d=1.21546 t=17231
shu mei 	淑梅	c=1 d=1 t=32367
shu ren 	熟人	c=1 d=1 t=28256
shu ru 	输入	c=1 d=1 t=32367
shu shi 	属实	c=2 d=1 t=8722
shu shu 	叔叔	c=1 d=1 t=22898
shu xia 	属下	c=1 d=1 t=23527
shu xing 	属性	c=0 d=0.1 t=1976
shu xing de 	属性的	c=1 d=1 t=1977
shu yu 	属于	c=7 d=1 t=27911
shu yu 	术语	c=1 d=1 t=5086
shuai 	甩	c=1 d=1 t=1153
shuai shou 	甩手	c=1 d=1 t=18389
shuai tui 	衰退	c=1 d=1 t=29235
shuang 	双	c=0 d=0.1 t=30141
shuang 	爽	c=3 d=1.98511 t=28623
shuang guo ji 	双国籍	c=1 d=1 t=30142
shuang kuai 	爽快	c=1 d=1 t=19893
shuang kuai dian 	爽快点	c=1 d=1 t=12093
shuang ying 	双赢	c=1 d=1 t=751
shui 	水	c=5 d=0.909373 t=32367
shui 	睡	c=2 d=1 t=19388
shui 	税	c=1 d=1 t=30262
shui 	谁	c=80 d=3.09309 t=32236
shui bu 	谁不	c=0 d=0.1 t=8230
shui bu shi 	谁不是	c=1 d=1 t=5906
shui bu xi huan 	谁不喜欢	c=1 d=1 t=7220
shui bu xi wang 	谁不希望	c=1 d=1 t=8231
shui de 	谁的	c=2 d=1 t=31712
shui dou 	谁都	c=5 d=1 t=27162
shui guo 	水果	c=2 d=1 t=22695
shui hai 	谁还	c=1 d=1 t=31243
shui hui 	谁会	c=4 d=1.03915 t=3233
shui jiao 	睡觉	c=3 d=1.55098 t=23769
shui lai 	谁来	c=1 d=1 t=8264
shui le 	睡了	c=4 d=1 t=24370
shui mian 	睡眠	c=1 d=1 t=22669
shui neng 	谁能	c=3 d=1.0016 t=10564
shui ping 	水平	c=1 d=1 t=10494
shui rang 	谁让	c=1 d=1 t=10819
shui rang ni 	谁让你	c=1 d=1 t=28982
shui tu bu fu 	水土不服	c=1 d=1 t=27338
shui xin 	谁信	c=1 d=1 t=24492
shui yao 	谁要	c=4 d=1.00002 t=22083
shui you 	谁又	c=1 d=1 t=13390
shui you 	谁有	c=1 d=1 t=11975
shui you kong 	谁有空	c=1 d=1 t=24914
shui zai 	谁在	c=2 d=1 t=17981
shui zai hu 	谁在乎	c=1 d=1 t=19580
shui zhi dao 	谁知道	c=1 d=1 t=18900
shun 	顺	c=1 d=1 t=30399
shun bian 	顺便	c=2 d=1 t=30037
shun li 	顺利	c=2 d=1.00485 t=30422
shun li le 	顺利了	c=1 d=1 t=30423
shuo 	说	c=53 d=1.1052 t=32367
shuo bai le 	说白了	c=1 d=1 t=27500
shuo bu 	说不	c=0 d=0.1 t=16272
shuo bu ding 	说不定	c=8 d=1 t=29779
shuo bu shang lai 	说不上来	c=1 d=1 t=16273
shuo bu xing 	说不行	c=1 d=1 t=16892
shuo bu ying 	说不赢	c=1 d=1 t=22427
shuo chu 	说出	c=1 d=1 t=14929
shuo chu qu 	说出去	c=1 d=1 t=27790
shuo dao di 	说到底	c=2 d=1.00205 t=4201
shuo de 	说得	c=7 d=1.00001 t=22189
shuo de hua 	说的话	c=1 d=1 t=1872
shuo dian 	说点	c=2 d=1 t=26146
shuo duo le 	说多了	c=1 d=1 t=29859
shuo fa 	说法	c=2 d=1 t=32210
shuo fu 	说服	c=1 d=1 t=14078
shuo gei 	说给	c=0 d=0.1 t=8370
shuo gei le 	说给了	c=1 d=1 t=8371
shuo hao 	说好	c=1 d=1 t=16388
shuo hua 	说话	c=1 d=0.982497 t=14128
shuo huang 	说谎	c=1 d=1 t=23314
shuo jiao 	说教	c=1 d=1 t=1565
shuo lai 	说来	c=3 d=1 t=17628
shuo le 	说了	c=5 d=1 t=30243
shuo ming 	说明	c=8 d=1 t=31719
shuo ming shen me 	说明什么	c=1 d=1 t=19728
shuo qing chu 	说清楚	c=1 d=1 t=12097
shuo shen me 	说什么	c=5 d=1 t=30253
shuo shuo 	说说	c=1 d=1 t=24933
shuo wan 	说完	c=1 d=1 t=26253
shuo wo 	说我	c=11 d=1.00052 t=28078
shuo yao 	说要	c=1 d=1 t=6859
shuo yao si 	说要死	c=1 d=1 t=20376
shuo zhe 	说着	c=2 d=1.40861 t=20557
shuo zhe ge 	说这个	c=1 d=1 t=26830
shuo zou 	说走	c=1 d=1 t=22243
si 	四	c=1 d=1 t=10120
si 	思	c=1 d=1 t=10119
si 	死	c=18 d=1.00485 t=31484
si 	私	c=1 d=1 t=303
si ba da 	斯巴达	c=1 d=1 t=9995
si bu liao 	死不了	c=1 d=1 t=30713
si chuan 	四川	c=1 d=1 t=12003
si di xia 	私底下	c=1 d=1 t=22337
si dian 	四点	c=1 d=1 t=17554
si huo 	死活	c=9 d=1 t=29272
si huo yao wo 	死活要我	c=1 d=1 t=26903
si ke 	死磕	c=2 d=1.20393 t=11103
si le 	死了	c=17 d=1.99005 t=32159
si le de ren 	死了的人	c=1 d=1 t=21894
si li 	死里	c=2 d=1 t=22548
si lu 	思路	c=1 d=1 t=351
si ming 	死命	c=1 d=0.1 t=9711
si ming zuo 	死命作	c=1 d=1 t=9712
si nian 	四年	c=1 d=1 t=19725
si ren 	私人	c=1 d=1 t=264
si shi 	四十	c=2 d=0.1 t=28482
si shi ji 	四十几	c=1 d=1 t=28483
si shi nian 	四十年	c=2 d=1.97531 t=743
si wa 	丝袜	c=1 d=1 t=10200
si wang 	死亡	c=5 d=1 t=25181
si wei 	思维	c=2 d=1.68386 t=3998
si xiang 	思想	c=20 d=2.15212 t=32123
si xiang le 	思想了	c=1 d=1 t=9077
si xiang li mian 	思想里面	c=1 d=1 t=3681
si xiang ya 	思想呀	c=1 d=1 t=26659
si xin 	私心	c=3 d=1 t=26538
si xing 	死刑	c=1 d=1 t=17251
si zai 	死在	c=2 d=1 t=29108
si zhui zhe 	死追着	c=1 d=1 t=27104
song 	松	c=1 d=1 t=19441
song 	送	c=5 d=1.09147 t=30083
song chu qu 	送出去	c=1 d=1 t=21076
song dao 	送到	c=1 d=1 t=15640
song gei 	送给	c=1 d=1 t=15586
song hui lai 	送回来	c=1 d=1 t=25463
song nen 	松嫩	c=1 d=0.715338 t=32367
song wai mai 	送外卖	c=1 d=1 t=26578
song wo 	送我	c=3 d=1.9802 t=29351
song wo qu 	送我去	c=1 d=1 t=12002
song zi 	松子	c=2 d=1.8781 t=30558
song zi ma 	松子吗	c=1 d=1 t=2574
su 	宿	c=1 d=1 t=18364
su cai 	素材	c=1 d=1 t=20923
su du 	速度	c=2 d=1 t=10048
su ming 	宿命	c=1 d=1.1 t=10217
su ming zhi huan 	宿命之环	c=1 d=1 t=10218
su zhi 	素质	c=1 d=1 t=11229
suan 	算	c=8 d=1.62593 t=29566
suan 	酸	c=1 d=1 t=22745
suan bu zhun 	算不准	c=1 d=1 t=18886
suan cuo 	算错	c=0 d=0.1 t=26081
suan cuo le 	算错了	c=1 d=1 t=26082
suan ji 	算计	c=3 d=1 t=31044
suan le 	算了	c=10 d=1.56658 t=26411
suan le la 	算了啦	c=2 d=1 t=9521
suan ming 	算命	c=0 d=0.1 t=26079
suan ming de 	算命的	c=1 d=1 t=26080
suan nai 	酸奶	c=1 d=1 t=18929
suan shang 	算上	c=1 d=1 t=23862
suan shi 	算是	c=0 d=0.1 t=5692
suan shi ge 	算是个	c=1 d=1 t=15749
suan shu 	算数	c=1 d=1 t=11460
suan suan 	算算	c=1 d=1 t=11469
